la-oll-a	laol-l-a
sa	sa
n-aha	n-aa
ba-fana	ba-fana
ba-fana	ba-fana
k-e	ke
mong	mo-ng
wa	waa
ba	ba-
kgolw-a-ng	kgol-w-a-ng
hore	hore
ba-fana	ba-fana
ba-fana	ba-fana
ba	ba
tla	tla
ets-a	ets-a
di-makatso	di-makatso
Seo	se-o
l-e-ng	le-ng
sa	sa
bo-hlokwa	bohloo-w-a
tekete	tekete
le-tsoho-ng	le-tsohong
ba-heso	ba-heso
Bohle	bo-hle
ha	ha
re	re
rek-e-ng	rek-e-ng
di-tekete	di-tekete
ka	k-a
n-ako	n-ako
hore	hore
re	re
tseb-e	tseb-e
ho	ho
y-a	y-a
di-papadi-ng	di-papading
Ma-Aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
Jwaloka	jwalok-a
ha	ha
re	re
ketek-a	ketek-a
n-tokoloho	n-tokoloho
ya	y-a
Madiba	ma-diba
kajeno	n-kajeno
re	re
i-tlam-a	i-tlam-a
bo-tjha	botjha
se-bake-ng	ba-keng
sa	sa
n-poelano	n-poelano
bo-nngwe	bon-ng-w-e
ba	ba-
se-tjhaba	se-tjhaba
ho	ho
se	se
kgeth-oll-e	kgeth-oll-e
ka	k-a
mo-rabe	mo-rabe
le	le
ho	ho
ah-a	aha
bo-kamoso	bo-kamoso
bo	bo
betere	betere
mmoho	mo-mho
Jwaloka	jwalok-a
ma-Aforika	ma-aforika
bo-rwa	bo-rwa
ba	ba
batsho	ba-tsh
le	le
ba	ba-
Basweu	bassweu
Re	re
tata-is-w-a	tata-is-w-a
ke	ke
se	se
bu-uw-e-ng	bu-uw-e-ng
ke	ke
Madiba	ma-diba
le-kgotla	kgotla
mme	moe
ke	ke
qots-a	qots-a
bo-phelo-ng	bo-phelong
ba	ba-
ka	k-a
ke	ke
i-tel-e-ts-e	i-tel-e-ts-e
ho	ho
lw-an-a	lwanana
se-bake-ng	ba-keng
sa	sa
ba-tho	ba-tho
ba	ba-
ma-Aforika	ma-aforika
Ke	ke
lw-an-n-e	lwann-e
n-kgahlano-ng	n-kgahlanong
le	le
n-kgatello	n-kgatello
ya	y-a
ba	ba-
Basweu	bassweu
le	le
ho	ho
lw-an-a	lwanana
n-kgahlano-ng	n-kgahlanong
le	le
n-kgatello	n-kgatello
ya	y-a
ba-tho	ba-tho
ba	ba
batsho	ba-tsh
sa	sa
l-e	le
ke	ke
le	le
n-toro	toro
ya	y-a
se-tjhaba	se-tjhaba
sa	sa
demokerasi	demokerasi
le	le
se	se
lokol-oh-il-e-ng	lokol-oh-il-e-ng
moo	mo-o
ba-tho	ba-tho
bohle	bo-hle
ba	ba
phel-a-ng	phel-a-ng
mmoho	mo-mho
ka	k-a
n-kutlwano	n-kutlwano
le	le
ka	k-a
me-nyetla	me-nyetla
lek-an-a-ng	lek-an-a-ng
Ke	ke
n-toro	toro
eo	eo
ke	ke
lakats-a-ng	lak-ats-a-ng
ho	ho
i-phel-el-a	i-phel-el-a
le	le
ho	ho
fihl-el-l-a	fihl-el-l-a
Empa	emp-a
ha	ha
ho	ho
hlok-eh-a	hlok-eh-a
ke	ke
n-toro	toro
eo	eo
ke	ke
ik-em-is-ed-its-e-ng	i--em-is-ed-its-e-ng
ho	ho
shw-a	shwa
se-bake-ng	ba-keng
sa	sa
yona	yona
Ka	k-a
le-baka	leb-aka
la	la
ho	ho
kgothal-e-ts-w-a	kgothal-e-ts-w-a
ke	ke
Madiba	ma-diba
ke	ke
n-tlhompho	n-tlhompho
ho	ho
nna	nna
ho	ho
ets-a	ets-a
n-puo	n-puo
ena	en-a
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ya	y-a
ho	ho
hopol-a	hopol--a
ba-hale	ba-hlle
le	le
ba-halehatsana	ba-halehatsana
ba	ba-
rona	ron-a
ba	ba-
roris-w-a-ng	ror-is-w-a-ng
le	le
ba	ba
sa	sa
roris-w-e-ng	ror-is-w-e-ng
ba	ba-
tsej-w-a-ng	tsej-w-a-ng
le	le
ba	ba
sa	sa
tsej-w-e-ng	tsej-w-e-ng
Ha	ha
re	re
sebets-e-ng	sebets-e-ng
mmoho	mo-mho
ho	ho
ets-a	ets-a
se-lemo	se-lemo
sena	se-na
sa	sa
n-tshebetso	tshebetso
se	se
atl-eh-il-e-ng	atl-eh-il-e-ng
se-bake-ng	ba-keng
sa	sa
n-aha	n-aa
ya	y-a
