la-oll-a	Laoll-a
tse	ts-e
telele	te-el-l-e
re	re
rer-a	rer-a
se-bake-ng	ba-keng
sa	s-a
Mo-hope	mo-hope
ona	on-a
wa	wa
le-fatshe	le-fatshe
Re	Re
s-ets-e	se-tse
feela	fele-a
ka	k-a
di-kgwedi	di-kgwedi
tse	ts-e
tharo	tharo
Mme	mo-me
re	re
ik-em-is-ed-its-e	ik-ime-d-is-ets-e
ho	ho
atl-eh-a	atleh-a
mo-theo	mo-theo
wa	wa
se-tjhaba	se-tjhaba
n-tshireletso	tshireletso
le	le
di-tlhophiso	di-tlhophiso
di	di
mo-tjhe-ng	mo-tjheng
se-bake-ng	ba-keng
sa	s-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
thonamente	thonamene
atl-eh-il-e-ng	atleh-il-e-ng
Jwaloka	N-Kwaloka
se-tjhaba	se-tjhaba
re	re
lok-el-a	lok-el-a
ho	ho
is-a	si-a
di-teboho	di-teboho
ho	ho
Komiti	Komiti
ya	y-a
le-hae	Le-hae
hloph-is-a-ng	Hloph-is-a-ng
se-bake-ng	ba-keng
sa	s-a
me-kutu	me-kutu
ya	y-a
bona	bon-a
babats-eh-a-ng	ba-batshena
Re	Re
lakal-ets-a	lakal-ets-a
mo-dulasetulo	do-dumalelutso
wa	wa
LOC	LCD
Irvin	Irint
Khoza	Khoa
CEO	EE-A
Danny	Dnyan
Jordaan	Jorana
le	le
mo-kwetlisi	mo-kwetlisi
wa	wa
ba-fana	ba-fana
ba-fana	ba-fana
Carlos	Carlos
Alberto	le-broti
Parreira	Rrareira
tsohle	tshol-e
tse	ts-e
mo-lemo	mo-lemo
se-bake-ng	ba-keng
sa	s-a
di-kgwedi	di-kgwedi
tse	ts-e
tl-a-ng	tl-a-ng
mo-presidente	po-resisenetr
Mandela	ma-nela
n-e	ne
l-e	le
bo-hare-ng	bo-raheng
ba	b-a
ho	ho
thus-a	thus-a
n-aha	nah-a
ho	ho
hlol-a	hlol-a
di-tokelo	di-tokelo
tsa	ts-a
ho	ho
tshwar-a	tshwar-a
mo-rero	mo-rero
ona	on-a
moholo	mo-holo
Ha	hao
ho	ho
l-e	le
jwalo	n-walo
re	re
lok-el-a	lok-el-a
ho	ho
ets-a	ets-a
Mo-hope	mo-hope
wa	wa
le-fatshe	le-fatshe
n-katleho	n-katleho
kgolo	n-kgolo
se-bake-ng	ba-keng
sa	s-a
ho	ho
mo	mo
hlomph-a	hlopham
Ba-heso	ba-heso
ha	ha
re	re
bo-el-e-ng	bo-eleng
re	re
tshehets-e	tshehetse
se-hlopha	se-hlopha
sa	s-a
n-aha	nah-a
ba-fana	ba-fana
ba-fana	ba-fana
k-e	Fe
mong	mo-ng
wa	wa
ba	b-a
kgolw-a-ng	kgol-w-a-ng
hore	hore
ba-fana	ba-fana
ba-fana	ba-fana
ba	b-a
tla	tl-a
ets-a	ets-a
di-makatso	di-makatso
Seo	se-o
l-e-ng	le-ng
sa	s-a
bo-hlokwa	bo-hlokwa
tekete	tekete
le-tsoho-ng	le-tsohong
ba-heso	ba-heso
Bohle	bohle
ha	ha
re	re
rek-e-ng	rek-e-ng
di-tekete	di-tekete
ka	k-a
n-ako	n-kao
hore	hore
re	re
tseb-e	tsebe
ho	ho
y-a	y-a
di-papadi-ng	di-papading
Ma-Aforika	ma-Afroka
bo-rwa	bo-rwa
heso	heso
Jwaloka	N-Kwaloka
ha	ha
re	re
ketek-a	keketsa
n-tokoloho	n-tokoloho
ya	y-a
Madiba	ma-bida
kajeno	n-kaeno
re	re
i-tlam-a	i-tlam-a
bo-tjha	botjh-a
se-bake-ng	ba-keng
sa	s-a
n-poelano	n-poelano
bo-nngwe	bon-ng-w-e
ba	b-a
se-tjhaba	se-tjhaba
ho	ho
se	se
kgeth-oll-e	n-kgetholle
ka	k-a
mo-rabe	mo-rabe
le	le
ho	ho
ah-a	ah-a
bo-kamoso	bo-kamoso
bo	bo
betere	be-tere
mmoho	mo-mho
Jwaloka	n-kalwao
ma-Aforika	ma-Afroki
bo-rwa	bo-rwa
ba	b-a
batsho	ba-tsho
le	le
ba	b-a
Basweu	ba-sweu
Re	Re
tata-is-w-a	tata-is-w-a
ke	ke
se	se
bu-uw-e-ng	bu-uw-e-ng
ke	ke
Madiba	ma-bida
le-kgotla	kgotl-a
mme	mm-em
ke	ke
qots-a	qots-a
bo-phelo-ng	bo-phelong
ba	b-a
ka	k-a
ke	ke
i-tel-e-ts-e	i-te-el-ets-a
ho	ho
lw-an-a	la-w-a
se-bake-ng	ba-keng
sa	s-a
ba-tho	ba-tho
ba	b-a
ma-Aforika	ma-Afroki
Ke	Fe
lw-an-n-e	lwaneng
n-kgahlano-ng	n-kgahlanong
le	le
n-kgatello	n-kgatlelo
ya	y-a
ba	b-a
Basweu	ba-sweu
le	le
ho	ho
lw-an-a	la-w-a
n-kgahlano-ng	n-kgahlanong
le	le
n-kgatello	n-kgatlelo
ya	y-a
ba-tho	ba-tho
ba	b-a
batsho	ba-tsho
sa	s-a
l-e	le
ke	ke
le	le
n-toro	n-toro
ya	y-a
se-tjhaba	se-tjhaba
sa	s-a
demokerasi	me-kerosadi
le	le
se	se
lokol-oh-il-e-ng	lo-kolohileng
moo	mo-o
ba-tho	ba-tho
bohle	bohle
ba	b-a
phel-a-ng	phel-a-ng
mmoho	mo-mho
ka	k-a
n-kutlwano	n-kutlwano
le	le
ka	k-a
me-nyetla	me-nyela
